PP_ID	GROUP	LANGUAGE_RANK	LANGUAGE	PART	TRIAL	TRIAL_FIXATION_COUNT	TRIAL_DWELL_TIME	IA_ID	WORD_ID	IA_LABEL	IA_LABEL_NO_PUNCTUATIONS	IA_FIRST_FIXATION_DURATION	IA_FIRST_RUN_DWELL_TIME	IA_DWELL_TIME	IA_SKIP	IA_FIRST_RUN_FIXATION_COUNT	IA_FIXATION_COUNT	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	MWS_Repetition_Within_One_Session	MWS_Repetition_Across_Sessions	Adj_Word_Repetition_Within_One_Session	Adj_Word_Repetition_Across_Sessions	Noun_Word_Repetition_Within_One_Session	Noun_Word_Repetition_Across_Sessions	MWS_Frequency	Adj_Word_Frequency	Noun_Word_Frequency	MWS_Length
pp21	Monolinguals	L1	English	1	5	115	25544	3	1-5-3	intense interest	intense interest	55	55	1398	1	1	5	1685	1398	1	1	1	1	1	1	52	2273	26773	16
pp21	Monolinguals	L1	English	1	5	115	25544	62	1-5-62	sensational rumours	sensational rumours	151	476	476	1	2	2	476	476	1	1	1	1	1	1	0	444	1237	19
pp21	Monolinguals	L1	English	1	7	80	18940	20	1-7-20	good yarn	good yarn	164	444	444	0	2	2	444	444	1	1	2	2	1	1	11	79878	866	9
pp21	Monolinguals	L1	English	1	7	80	18940	23	1-7-23	old times,	old times	277	277	678	0	1	3	1146	678	1	1	1	1	1	1	158	52171	28849	9
pp21	Monolinguals	L1	English	1	8	121	29416	20	1-8-20	handsome woman	handsome woman	220	529	529	0	2	2	529	529	1	1	1	1	1	1	24	1570	21791	14
pp21	Monolinguals	L1	English	1	8	121	29416	69	1-8-69	generous woman,	generous woman	145	303	303	0	2	2	303	303	1	1	1	1	2	2	9	2234	21791	14
pp21	Monolinguals	L1	English	1	9	96	20515	29	1-9-29	larger part	larger part	242	424	424	0	2	2	424	424	1	1	1	1	1	1	224	7475	52916	11
pp21	Monolinguals	L1	English	1	10	66	13595	21	1-10-21	literary ambitions;	literary ambitions	101	101	1481	0	1	5	1856	1481	1	1	1	1	1	1	5	3289	966	18
pp21	Monolinguals	L1	English	1	10	66	13595	47	1-10-47	congenial life	congenial life	165	165	1469	0	1	7	2069	1469	1	1	1	1	2	2	4	179	54419	14
pp21	Monolinguals	L1	English	1	11	78	16765	21	1-11-21	shrewd suspicion	shrewd suspicion	428	1058	1058	1	2	2	1058	1058	1	1	1	1	1	1	0	437	1544	16
pp21	Monolinguals	L1	English	1	12	104	26343	18	1-12-18	little bounder	little bounder	202	644	644	1	2	2	644	644	1	1	2	2	1	1	0	61932	10	14
pp21	Monolinguals	L1	English	1	12	104	26343	61	1-12-61	great sport…	great sport	187	503	503	0	3	3	503	503	1	1	1	1	1	1	39	46108	4427	11
pp21	Monolinguals	L1	English	1	13	82	18137	36	1-13-36	absolute outsider,	absolute outsider	290	546	546	0	4	4	546	546	1	1	1	1	1	1	0	3379	572	17
pp21	Monolinguals	L1	English	1	13	82	18137	46	1-13-46	black beard,	black beard	70	474	474	0	2	2	474	474	1	1	1	1	1	1	53	23609	882	11
pp21	Monolinguals	L1	English	1	13	82	18137	51	1-13-51	leather boots	leather boots	362	707	707	0	3	3	707	707	1	1	1	1	1	1	83	2377	2804	13
pp21	Monolinguals	L1	English	1	15	91	19460	24	1-15-24	little station,	little station	116	116	457	0	1	3	4067	457	1	1	3	3	1	1	0	61932	9782	14
pp21	Monolinguals	L1	English	1	15	91	19460	38	1-15-38	green fields	green fields	274	274	659	0	1	3	1132	659	1	1	1	1	1	1	119	14059	5658	12
pp21	Monolinguals	L1	English	1	16	124	28298	24	1-16-24	other side	other side	274	274	274	0	1	1	274	274	1	1	2	2	1	1	3406	152363	31954	10
pp21	Monolinguals	L1	English	1	16	124	28298	68	1-16-68	great war	great war	234	952	952	0	5	5	952	952	1	1	3	3	2	2	370	46108	26881	9
pp21	Monolinguals	L1	English	1	17	101	22717	12	1-17-12	idle life.	idle life	384	1334	1334	0	4	4	1334	1334	1	1	1	1	4	4	5	651	54419	9
pp21	Monolinguals	L1	English	1	17	101	22717	55	1-17-55	good life	good life	207	409	409	1	2	2	409	409	1	1	3	3	5	5	0	79878	54419	9
pp21	Monolinguals	L1	English	1	18	148	34655	83	1-18-83	old house.	old house	176	176	577	0	1	3	1139	577	1	1	4	4	1	1	554	52171	48666	9
pp21	Monolinguals	L1	English	1	18	148	34655	90	1-18-90	tweed skirt,	tweed skirt	485	808	808	0	2	2	808	808	1	1	1	1	1	1	15	718	1371	11
pp21	Monolinguals	L1	English	1	18	148	34655	108	1-18-108	wounded hero!	wounded hero	217	217	332	0	1	2	506	332	1	1	1	1	1	1	6	1598	2178	12
pp21	Monolinguals	L1	English	1	19	96	22732	18	1-19-18	blue eyes	blue eyes	137	137	137	1	1	1	137	137	1	1	1	1	1	1	1010	9941	27226	9
pp21	Monolinguals	L1	English	1	19	96	22732	22	1-19-22	sunburnt face.	sunburnt face	422	494	494	1	2	2	494	494	1	1	1	1	1	1	5	35	32434	13
pp21	Monolinguals	L1	English	1	19	96	22732	34	1-19-34	deep voice,	deep voice	247	415	415	1	2	2	415	415	1	1	1	1	1	1	268	10141	23205	10
pp21	Monolinguals	L1	English	1	19	96	22732	47	1-19-47	square body,	square body	463	774	835	1	2	3	774	774	1	1	1	1	1	1	0	6763	24411	11
pp21	Monolinguals	L1	English	1	21	74	15930	34	1-21-34	large sycamore.	large sycamore	218	1046	1046	0	4	4	1046	1046	1	1	2	2	1	1	1	33965	125	14
pp21	Monolinguals	L1	English	1	22	103	24573	4	1-22-4	slender form,	slender form	165	610	610	0	3	3	610	610	1	1	1	1	1	1	17	720	33817	12
pp21	Monolinguals	L1	English	1	22	103	24573	9	1-22-9	bright light;	bright light	143	607	607	0	3	3	607	607	1	1	1	1	1	1	242	5233	22368	12
pp21	Monolinguals	L1	English	1	22	103	24573	12	1-22-12	vivid sense	vivid sense	148	416	416	0	2	2	416	416	1	1	1	1	1	1	11	987	21199	11
pp21	Monolinguals	L1	English	1	22	103	24573	30	1-22-30	remarkable eyes,	remarkable eyes	114	114	1864	0	1	5	2503	1864	1	1	1	1	3	3	0	3447	27226	15
pp21	Monolinguals	L1	English	1	22	103	24573	43	1-22-43	intense power	intense power	311	692	692	0	3	3	692	692	1	1	2	2	1	1	0	2273	31136	13
pp21	Monolinguals	L1	English	1	22	103	24573	57	1-22-57	untamed spirit	untamed spirit	487	764	764	0	2	2	764	764	1	1	1	1	1	1	0	51	6310	14
pp21	Monolinguals	L1	English	1	23	131	30377	15	1-23-15	clear voice,	clear voice	178	347	1312	0	2	9	2005	1312	1	1	1	1	2	2	109	24762	23205	11
pp21	Monolinguals	L1	English	1	23	131	30377	53	1-23-53	fascinating woman.	fascinating woman	389	636	636	0	2	2	636	636	1	1	1	1	4	4	6	1631	21791	17
pp21	Monolinguals	L1	English	1	23	131	30377	88	1-23-88	good fellow	good fellow	274	525	525	0	2	2	525	525	1	1	5	5	7	7	0	79878	4283	11
pp21	Monolinguals	L1	English	1	25	130	28854	83	1-25-83	alien note.	alien note	348	348	956	0	1	4	1220	956	1	1	1	1	1	1	0	1200	10189	10
pp21	Monolinguals	L1	English	1	26	137	30721	21	1-26-21	curious impassivity	curious impassivity	211	463	850	1	2	4	463	463	1	1	1	1	1	1	0	2078	9	19
pp21	Monolinguals	L1	English	1	26	137	30721	43	1-26-43	real life.	real life	212	212	212	0	1	1	212	212	1	1	1	1	6	6	661	22277	54419	9
pp21	Monolinguals	L1	English	1	26	137	30721	96	1-26-96	tenderest care.	tenderest care	411	411	411	0	1	1	411	411	1	1	1	1	1	1	1	15	24178	14
pp21	Monolinguals	L1	English	1	27	67	15728	33	1-27-33	intervening years,	intervening years	343	532	532	0	2	2	532	532	1	1	1	1	9	9	88	502	87531	17
