PP_ID	GROUP	LEXTALE_ENG
pp21	Monolinguals	71.25
pp22	Monolinguals	97.5
pp23	Monolinguals	80
pp25	Monolinguals	98.75
pp26	Monolinguals	98.75
pp27	Monolinguals	83.75
pp28	Monolinguals	87.5
pp29	Monolinguals	90
pp30	Monolinguals	82.5
pp31	Monolinguals	95
pp32	Monolinguals	100
pp33	Monolinguals	92.5
pp34	Monolinguals	97.5
pp35	Monolinguals	100
CN_01	Bilinguals	75
CN_02	Bilinguals	66.25
CN_03	Bilinguals	62.5
CN_04	Bilinguals	57.5
CN_06	Bilinguals	96.25
CN_07	Bilinguals	57.5
CN_08	Bilinguals	61.25
CN_09	Bilinguals	66.25
CN_10	Bilinguals	68.75
CN_11	Bilinguals	70
CN_12	Bilinguals	75
CN_13	Bilinguals	86.25
CN_14	Bilinguals	80
CN_15	Bilinguals	70
CN_16	Bilinguals	78.75
CN_17	Bilinguals	60
CN_18	Bilinguals	81.25
CN_19	Bilinguals	93.75
CN_20	Bilinguals	95
CN_21	Bilinguals	85
CN_23	Bilinguals	71.25
CN_24	Bilinguals	92.5
CN_25	Bilinguals	85
CN_26	Bilinguals	88.75
CN_27	Bilinguals	60
CN_28	Bilinguals	91.25
CN_29	Bilinguals	86.25
CN_30	Bilinguals	67.5
CN_31	Bilinguals	73.75
CN_32	Bilinguals	70
